fruit,category,image,method,window_size,darkness_weight,local_contrast_weight,iou,dice,precision,recall
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Local (0.8/0.2) 11x11,11.0,0.8,0.2,0.33557068847544885,0.5025128080019517,0.48898490171873515,0.5168105178643115
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Local (0.7/0.3) 11x11,11.0,0.7,0.3,0.3326241134751773,0.49920170303352845,0.5042752547232605,0.49422922521075874
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Local (0.6/0.4) 11x11,11.0,0.6,0.4,0.35015398152221733,0.5186874775978364,0.7396152773905771,0.399387796065837
Guava,Defect,Guava_Defect_084.jpg,Local Contrast-Guided Otsu (21x21),21.0,,,0.34530340113089714,0.5133465073241116,0.6845980088680665,0.4106282617422722
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Local (0.8/0.2) 21x21,21.0,0.8,0.2,0.34324727555786194,0.5110708680429796,0.49253036719877136,0.5310618225612204
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Local (0.7/0.3) 21x21,21.0,0.7,0.3,0.3462974071852296,0.5144441418917246,0.5076457081440227,0.5214271376957046
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Local (0.6/0.4) 21x21,21.0,0.6,0.4,0.361300799467022,0.5308169944636466,0.6797493145319232,0.43541750301083904
Guava,Defect,Guava_Defect_084.jpg,Local Contrast-Guided Otsu (31x31),31.0,,,0.3977367979882649,0.5691154422788606,0.7070481299359261,0.4762143717382577
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Local (0.8/0.2) 31x31,31.0,0.8,0.2,0.3470937052000521,0.5153222880638529,0.49740860064434794,0.5345744680851063
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Local (0.7/0.3) 31x31,31.0,0.7,0.3,0.3575702261433932,0.5267797116605663,0.5228092719814165,0.5308109193095143
Guava,Defect,Guava_Defect_084.jpg,Weighted Otsu-Local (0.6/0.4) 31x31,31.0,0.6,0.4,0.3875378694833374,0.558597899209253,0.6778859925522773,0.47501003613006826
Mango,Ripe,Mango_Ripe_064.jpg,Original Otsu,,,,0.0,0.0,0.0,0.0
