fruit,category,image,method,gt_damage_percentage,raw_damage_percentage,predicted_damage_percentage,absolute_error,intensity_weight,colour_weight,texture_weight
Mango,Ripe,Mango_Ripe_064,AWDP_A,0.0,48.82175166910283,12.615316009189941,12.615316009189941,0.5,0.3,0.2
Mango,Ripe,Mango_Ripe_064,AWDP_B,0.0,48.82175166910283,14.910738453005868,14.910738453005868,0.4,0.4,0.2
Mango,Ripe,Mango_Ripe_064,AWDP_C,0.0,48.82175166910283,13.248017631750484,13.248017631750484,0.4,0.3,0.3
Mango,Ripe,Mango_Ripe_064,AWDP_D,0.0,48.82175166910283,14.3559953599682,14.3559953599682,0.33,0.34,0.33
Mango,Ripe,Mango_Ripe_064,AWDP_E,0.0,48.82175166910283,17.20615896784755,17.20615896784755,0.3,0.5,0.2
Mango,Rotten,Mango_Rotten_084,AWDP_A,14.752855103497502,51.55171901023079,14.993815452690043,0.24096034919254095,0.5,0.3,0.2
Mango,Rotten,Mango_Rotten_084,AWDP_B,14.752855103497502,51.55171901023079,15.983951486010737,1.2310963825132344,0.4,0.4,0.2
Mango,Rotten,Mango_Rotten_084,AWDP_C,14.752855103497502,51.55171901023079,15.305014879624673,0.552159776127171,0.4,0.3,0.3
Mango,Rotten,Mango_Rotten_084,AWDP_D,14.752855103497502,51.55171901023079,15.79442737841646,1.0415722749189573,0.33,0.34,0.33
Mango,Rotten,Mango_Rotten_084,AWDP_E,14.752855103497502,51.55171901023079,16.97408751933143,2.221232415833928,0.3,0.5,0.2
Melon,Overripe,Melon_Overripe_014,AWDP_A,0.0,82.485211170725,17.995116784461413,17.995116784461413,0.5,0.3,0.2
Melon,Overripe,Melon_Overripe_014,AWDP_B,0.0,82.485211170725,19.0394770923614,19.0394770923614,0.4,0.4,0.2
Melon,Overripe,Melon_Overripe_014,AWDP_C,0.0,82.485211170725,19.379187570934793,19.379187570934793,0.4,0.3,0.3
Melon,Overripe,Melon_Overripe_014,AWDP_D,0.0,82.485211170725,20.212152795690606,20.212152795690606,0.33,0.34,0.33
Melon,Overripe,Melon_Overripe_014,AWDP_E,0.0,82.485211170725,20.083837400261384,20.083837400261384,0.3,0.5,0.2
Melon,Ripe,Melon_Ripe_084,AWDP_A,0.0,34.44663752995911,13.849703547952204,13.849703547952204,0.5,0.3,0.2
Melon,Ripe,Melon_Ripe_084,AWDP_B,0.0,34.44663752995911,15.278052525377134,15.278052525377134,0.4,0.4,0.2
Melon,Ripe,Melon_Ripe_084,AWDP_C,0.0,34.44663752995911,14.903976631890597,14.903976631890597,0.4,0.3,0.3
Melon,Ripe,Melon_Ripe_084,AWDP_D,0.0,34.44663752995911,15.791598010362328,15.791598010362328,0.33,0.34,0.33
Melon,Ripe,Melon_Ripe_084,AWDP_E,0.0,34.44663752995911,16.706402879599604,16.706402879599604,0.3,0.5,0.2
Melon,Rotten,Melon_Rotten_010,AWDP_A,20.547226185028666,69.17848779306075,19.121800063003015,1.4254261220256517,0.5,0.3,0.2
Melon,Rotten,Melon_Rotten_010,AWDP_B,20.547226185028666,69.17848779306075,19.127272871608437,1.4199533134202298,0.4,0.4,0.2
Melon,Rotten,Melon_Rotten_010,AWDP_C,20.547226185028666,69.17848779306075,20.136996859102045,0.41022932592662187,0.4,0.3,0.3
Melon,Rotten,Melon_Rotten_010,AWDP_D,20.547226185028666,69.17848779306075,20.443744889942398,0.10348129508626869,0.33,0.34,0.33
Melon,Rotten,Melon_Rotten_010,AWDP_E,20.547226185028666,69.17848779306075,19.13274436589863,1.4144818191300352,0.3,0.5,0.2
Orange,Overripe,Orange_Overripe_084,AWDP_A,48.70793423141935,58.23515853096348,21.735733673903855,26.972200557515496,0.5,0.3,0.2
Orange,Overripe,Orange_Overripe_084,AWDP_B,48.70793423141935,58.23515853096348,20.919804025220255,27.788130206199096,0.4,0.4,0.2
Orange,Overripe,Orange_Overripe_084,AWDP_C,48.70793423141935,58.23515853096348,20.433639919501996,28.274294311917355,0.4,0.3,0.3
Orange,Overripe,Orange_Overripe_084,AWDP_D,48.70793423141935,58.23515853096348,19.71663580696486,28.99129842445449,0.33,0.34,0.33
Orange,Overripe,Orange_Overripe_084,AWDP_E,48.70793423141935,58.23515853096348,20.10386937442376,28.604064856995592,0.3,0.5,0.2
Orange,Ripe,Orange_Ripe_084,AWDP_A,0.0,56.14987198244331,10.826391905175567,10.826391905175567,0.5,0.3,0.2
Orange,Ripe,Orange_Ripe_084,AWDP_B,0.0,56.14987198244331,12.08051568500823,12.08051568500823,0.4,0.4,0.2
Orange,Ripe,Orange_Ripe_084,AWDP_C,0.0,56.14987198244331,12.318276863684162,12.318276863684162,0.4,0.3,0.3
Orange,Ripe,Orange_Ripe_084,AWDP_D,0.0,56.14987198244331,13.26748918423098,13.26748918423098,0.33,0.34,0.33
Orange,Ripe,Orange_Ripe_084,AWDP_E,0.0,56.14987198244331,13.334638571861285,13.334638571861285,0.3,0.5,0.2
Orange,Rotten,Orange_Rotten_084,AWDP_A,51.733351840927234,49.03702675504042,18.88675331618489,32.84659852474235,0.5,0.3,0.2
Orange,Rotten,Orange_Rotten_084,AWDP_B,51.733351840927234,49.03702675504042,20.126235707221433,31.6071161337058,0.4,0.4,0.2
Orange,Rotten,Orange_Rotten_084,AWDP_C,51.733351840927234,49.03702675504042,20.402278887570706,31.33107295335653,0.4,0.3,0.3
Orange,Rotten,Orange_Rotten_084,AWDP_D,51.733351840927234,49.03702675504042,21.35272866819065,30.380623172736584,0.33,0.34,0.33
Orange,Rotten,Orange_Rotten_084,AWDP_E,51.733351840927234,49.03702675504042,21.36571809825797,30.367633742669263,0.3,0.5,0.2
Peach,Overripe,Peach_Overripe_084,AWDP_A,4.917290860473999,41.637740612180494,15.421419051336136,10.504128190862136,0.5,0.3,0.2
Peach,Overripe,Peach_Overripe_084,AWDP_B,4.917290860473999,41.637740612180494,16.718347444300043,11.801056583826044,0.4,0.4,0.2
Peach,Overripe,Peach_Overripe_084,AWDP_C,4.917290860473999,41.637740612180494,15.668541540374683,10.751250679900684,0.4,0.3,0.3
Peach,Overripe,Peach_Overripe_084,AWDP_D,4.917290860473999,41.637740612180494,16.261448346751425,11.344157486277426,0.33,0.34,0.33
Peach,Overripe,Peach_Overripe_084,AWDP_E,4.917290860473999,41.637740612180494,18.015274215363473,13.097983354889474,0.3,0.5,0.2
Peach,Ripe,Peach_Ripe_084,AWDP_A,2.4156509450627097,17.645166174577938,9.595234226151046,7.179583281088336,0.5,0.3,0.2
Peach,Ripe,Peach_Ripe_084,AWDP_B,2.4156509450627097,17.645166174577938,10.258853506211043,7.843202561148333,0.4,0.4,0.2
Peach,Ripe,Peach_Ripe_084,AWDP_C,2.4156509450627097,17.645166174577938,9.870124235645834,7.454473290583124,0.4,0.3,0.3
Peach,Ripe,Peach_Ripe_084,AWDP_D,2.4156509450627097,17.645166174577938,10.218039566614934,7.802388621552224,0.33,0.34,0.33
Peach,Ripe,Peach_Ripe_084,AWDP_E,2.4156509450627097,17.645166174577938,10.922472170174375,8.506821225111665,0.3,0.5,0.2
Peach,Rotten,Peach_Rotten_084,AWDP_A,5.9674585244517475,24.748978800118664,11.910692968268638,5.94323444381689,0.5,0.3,0.2
Peach,Rotten,Peach_Rotten_084,AWDP_B,5.9674585244517475,24.748978800118664,12.816330390965518,6.848871866513771,0.4,0.4,0.2
Peach,Rotten,Peach_Rotten_084,AWDP_C,5.9674585244517475,24.748978800118664,12.123925048064855,6.1564665236131075,0.4,0.3,0.3
Peach,Rotten,Peach_Rotten_084,AWDP_D,5.9674585244517475,24.748978800118664,12.550148526819333,6.582690002367586,0.33,0.34,0.33
Peach,Rotten,Peach_Rotten_084,AWDP_E,5.9674585244517475,24.748978800118664,13.7219678136624,7.754509289210653,0.3,0.5,0.2
Pear,Overripe,Pear_Overripe_032,AWDP_A,20.930475115343082,40.33756257975852,17.496875805254245,3.4335993100888373,0.5,0.3,0.2
Pear,Overripe,Pear_Overripe_032,AWDP_B,20.930475115343082,40.33756257975852,18.515651841808186,2.4148232735348962,0.4,0.4,0.2
Pear,Overripe,Pear_Overripe_032,AWDP_C,20.930475115343082,40.33756257975852,18.276778921664867,2.653696193678215,0.4,0.3,0.3
Pear,Overripe,Pear_Overripe_032,AWDP_D,20.930475115343082,40.33756257975852,18.91826338677665,2.012211728566431,0.33,0.34,0.33
Pear,Overripe,Pear_Overripe_032,AWDP_E,20.930475115343082,40.33756257975852,19.534430274952143,1.396044840390939,0.3,0.5,0.2
Pear,Ripe,Pear_Ripe_047,AWDP_A,4.896661122404977,67.15794985523317,7.934647767327744,3.037986644922767,0.5,0.3,0.2
Pear,Ripe,Pear_Ripe_047,AWDP_B,4.896661122404977,67.15794985523317,8.446806159953875,3.550145037548898,0.4,0.4,0.2
Pear,Ripe,Pear_Ripe_047,AWDP_C,4.896661122404977,67.15794985523317,8.712775510582224,3.8161143881772475,0.4,0.3,0.3
Pear,Ripe,Pear_Ripe_047,AWDP_D,4.896661122404977,67.15794985523317,9.151077341006745,4.254416218601769,0.33,0.34,0.33
Pear,Ripe,Pear_Ripe_047,AWDP_E,4.896661122404977,67.15794985523317,8.958963800591388,4.062302678186411,0.3,0.5,0.2
Pear,Rotten,Pear_Rotten_084,AWDP_A,22.847857432523767,40.23565989275898,22.040957980838552,0.806899451685215,0.5,0.3,0.2
Pear,Rotten,Pear_Rotten_084,AWDP_B,22.847857432523767,40.23565989275898,22.21284098941671,0.6350164431070588,0.4,0.4,0.2
Pear,Rotten,Pear_Rotten_084,AWDP_C,22.847857432523767,40.23565989275898,20.609479639554138,2.2383777929696294,0.4,0.3,0.3
Pear,Rotten,Pear_Rotten_084,AWDP_D,22.847857432523767,40.23565989275898,20.248790000647727,2.5990674318760405,0.33,0.34,0.33
Pear,Rotten,Pear_Rotten_084,AWDP_E,22.847857432523767,40.23565989275898,22.38472399799486,0.4631334345289062,0.3,0.5,0.2
